days,unix,hashrate,price,eff
0,1231545600000,1.0652200634920637e-07,0,0.0
4,1231891200000,2.521020816931218e-06,0,0.0
8,1232236800000,5.58885459978836e-06,0,0.0
12,1232582400000,5.681173671957674e-06,0,0.0
16,1232928000000,6.270595440423281e-06,0,0.0
20,1233273600000,6.4197262493121684e-06,0,0.0
24,1233619200000,5.8303044808465595e-06,0,0.0
28,1233964800000,6.256392506243385e-06,0,0.0
32,1234310400000,6.306102775873014e-06,0,0.0
36,1234656000000,6.4126247822222205e-06,0,0.0
40,1235001600000,6.178276368253967e-06,0,0.0
44,1235347200000,5.972333822645502e-06,0,0.0
48,1235692800000,5.539144330158728e-06,0,0.0
52,1236038400000,5.318998850370366e-06,0,0.0
56,1236384000000,5.31189738328042e-06,0,0.0
60,1236729600000,5.475231126349206e-06,0,0.0
64,1237075200000,5.581753132698413e-06,0,0.0
68,1237420800000,5.7805942112169315e-06,0,0.0
72,1237766400000,5.446825257989416e-06,0,0.0
76,1238112000000,5.368709119999998e-06,0,0.0
80,1238457600000,5.681173671957671e-06,0,0.0
84,1238803200000,5.745086875767196e-06,0,0.0
88,1239148800000,5.652767803597883e-06,0,0.0
92,1239494400000,5.475231126349203e-06,0,0.0
96,1239840000000,5.631463402328041e-06,0,0.0
100,1240185600000,5.9155220859259255e-06,0,0.0
104,1240531200000,5.65986927068783e-06,0,0.0
108,1240876800000,5.489434060529098e-06,0,0.0
112,1241222400000,5.901319151746028e-06,0,0.0
116,1241568000000,6.1711749011640176e-06,0,0.0
120,1241913600000,5.958130888465606e-06,0,0.0
124,1242259200000,5.375810587089946e-06,0,0.0
128,1242604800000,6.22088517079365e-06,0,0.0
132,1242950400000,5.6740722048677226e-06,0,0.0
136,1243296000000,4.1969670501587275e-06,0,0.0
140,1243641600000,4.7082726806349176e-06,0,0.0
144,1243987200000,5.098853370582007e-06,0,0.0
148,1244332800000,3.5365306107936477e-06,0,0.0
152,1244678400000,2.6488472245502603e-06,0,0.0
156,1245024000000,4.097546510899466e-06,0,0.0
160,1245369600000,3.891603965291e-06,0,0.0
164,1245715200000,3.955517169100525e-06,0,0.0
168,1246060800000,3.998125971640207e-06,0,0.0
172,1246406400000,3.884502498201055e-06,0,0.0
176,1246752000000,3.841893695661372e-06,0,0.0
180,1247097600000,3.955517169100526e-06,0,0.0
184,1247443200000,3.948415702010579e-06,0,0.0
188,1247788800000,3.586240880423275e-06,0,0.0
192,1248134400000,2.712760428359783e-06,0,0.0
196,1248480000000,2.94000737523809e-06,0,0.0
200,1248825600000,2.726963362539678e-06,0,0.0
204,1249171200000,1.4344963521693078e-06,0,0.0
208,1249516800000,1.725656502857139e-06,0,0.0
212,1249862400000,3.6501540842327982e-06,0,0.0
216,1250208000000,3.9200098336507866e-06,0,0.0
220,1250553600000,2.535223751111106e-06,0,0.0
224,1250899200000,9.942053925925879e-07,0,0.0
228,1251244800000,9.800024584126935e-07,0,0.0
232,1251590400000,2.0878313244444397e-06,0,0.0
236,1251936000000,3.6075452816931173e-06,0,0.0
240,1252281600000,3.6004438146031685e-06,0,0.0
244,1252627200000,3.330588065185181e-06,0,0.0
248,1252972800000,3.3731968677248628e-06,0,0.0
252,1253318400000,3.55073354497354e-06,0,0.0
256,1253664000000,3.4087042031745982e-06,0,0.0
260,1254009600000,3.479718874074068e-06,0,0.0
264,1254355200000,4.424213997037033e-06,0,0.0
268,1254700800000,3.8134878273015835e-06,0,0.0
272,1255046400000,2.9400073752380908e-06,0,0.0
276,1255392000000,3.2524719271957626e-06,0,0.0
280,1255737600000,3.3731968677248645e-06,0,0.0
284,1256083200000,3.7992848931216898e-06,0,0.0
288,1256428800000,4.296387589417985e-06,0,0.0
292,1256774400000,3.664357018412695e-06,0,0.0
296,1257120000000,2.7056589612698375e-06,0,0.0
300,1257465600000,2.4997164156613717e-06,0,0.0
304,1257811200000,3.1459499208465565e-06,0,0.0
308,1258156800000,3.4868203411640137e-06,0,0.0
312,1258502400000,4.111749445079357e-06,0,0.0
316,1258848000000,4.246677319788354e-06,0,0.0
320,1259193600000,4.367402260317453e-06,0,0.0
324,1259539200000,4.062039175449729e-06,0,0.0
