country,total_power
IN,986.8500000000001
US,44940.55200000002
DE,3345.6089999999986
SG,363.15
GB,5844.700000000003
CA,637.59
AU,44204.335
NL,52866.28600000001
HK,28515.9
AE,12.0
IE,455.52000000000004
BR,1576.2560000000003
TR,21.0
ZA,463.6
FR,413.19000000000017
ES,298.61
JP,54148.9
MY,234.3
EG,6.0
MX,201.55999999999997
FI,45190.2
AR,1909.9
SE,5226.349999999999
CH,233.53
IT,64.2
BE,15.937
IS,315.2
CO,1123.1499999999999
DK,705.3000000000001
NG,45.349999999999994
LV,2.3
GU,6.0
CL,99.4
BG,5.88
RO,51.0
ID,114.5
VE,2.0
AT,98.0
PE,2504.7
TW,22.0
PL,110.5
HR,0.8
CN,3007.3
GR,182.053
EC,8.0
KE,713.4
LT,2.0
IL,78.9
TH,95.0
VN,10.0
CZ,23.9
NO,356.78999999999996
NZ,54.0
CD,2.0
KR,118.1
PH,9.5
RU,103.7
PA,2.5
SN,1.2
RW,3.0
CI,2000.0
GH,1.2
DJ,5000.0
LU,6.0
