country,total_space,colocation_space,total_power
IN,55000,26000,11
US,147600,118447,4.9
US,338967,151772,18.5
SG,n/a,n/a,n/a
DE,592015,244394,25.6
US,1300000,600000,105
US,471248,n/a,n/a
US,n/a,n/a,n/a
SG,376737,178600,n/a
US,658528,255512,17.45
US,108000,108000,n/a
SG,181716,109209,13.5
US,1000000,n/a,110
US,379662,133987,10.8
US,275322,108005,10
HK,n/a,262155,n/a
GB,137443,69631,12
US,183900,131037,6.8
CA,60000,60000,11
US,430000,185000,40
US,467000,208000,40
DE,37673,34336,3.69
IN,45000,11000,2.3
AU,194429,74209,20.25
NL,258334,45208,35750
US,990000,531000,70
FR,111944,72032,n/a
AU,52571,33234,7.2
US,588669,n/a,41
SG,188260,n/a,20
US,173500,44000,12
US,95444,67041,5.5
GB,103495,n/a,15
SG,244750,45423.7,n/a
US,144000,72600,13.5
US,148659,59370,7.5
AU,661722.2,60870,n/a
US,n/a,90000,n/a
US,137000,61000,n/a
DE,113021,91526,8.96
US,133500,82851,4
US,143630,50992,6
HK,n/a,n/a,n/a
AU,87328,35877,n/a
US,360000,176000,52
US,25000,25000,n/a
BR,217861,29590,n/a
US,154158,73500,14
US,175311,93498,15
SG,363302,219263,50
DE,485000,n/a,56
AU,163073,80140,n/a
US,190057,99650,15
US,400000,95000,14
US,100590,100000,10
HK,322578,87509,13.5
US,55721,35894,1.7
US,99969,60587,6.8
IN,30000,30000,14.4
US,n/a,n/a,n/a
US,175930,37231,14.4
HK,370000,n/a,2
US,177469,62159,0.5
NL,143687,86111,15
NL,n/a,n/a,n/a
US,670000,400000,90
US,112292,77124,12
US,113944,91413,n/a
US,242495,110310,33
AE,40906,40906,5.6
CN,n/a,n/a,n/a
US,802397,802397,105.6
AU,105486,35799,n/a
DE,82882,n/a,4.021
SG,183000,n/a,15.6
NL,191597,68889,18
SG,n/a,n/a,n/a
AU,79520,24512,n/a
GB,135600,71042,n/a
DE,107639,74152,11.52
CN,139393,62431,n/a
SG,365000,n/a,50
DE,280000,n/a,27
CA,242317,106500,n/a
GB,226042,172222,2200
HK,281630,86909,4
SG,n/a,n/a,n/a
NL,148348,64583,13.5
US,150000,68000,4
US,154691,98600,12
NL,96681,29062,9.54
CA,180000,70000,20
SG,n/a,n/a,n/a
US,800000,800000,32
IN,82000,n/a,6.3
SG,377000,n/a,26
US,53000,26000,4.4
US,79200,43012,4.5
US,61573,30355,3
US,162000,80000,10
AU,34051.8,n/a,n/a
DE,52000,n/a,9.6
ID,65000,20021,n/a
IN,120000,45000,5.4
DE,260000,n/a,32
US,553930,58157,12
GB,91000,n/a,9.6
US,163747,148000,11.6
US,168000,75000,16
NL,182986,n/a,22.7
IE,113580,51322,10.08
US,229435,116835,4.9
US,n/a,n/a,n/a
US,164453,96644,10
US,700000,320932,75.2
BR,185677,65700,n/a
BR,95387,34432,12
AU,n/a,n/a,41663
DE,149620,71042,n/a
NL,605373,175662,9
NL,605373,175662,9
AU,161458.66,n/a,40
GB,2000000,n/a,148
TR,277170,16146,21
HK,367981,8332,8
GB,129000,129000,2200
IN,8900,8900,2.0
US,160000,79974,7.4
US,385000,205000,26
GB,65340,n/a,10.26
US,454000,447107,24
HK,198000,93708,28280
NL,141696,48437,16
US,140453,92320,10
US,29208,10500,4.8
NL,51666,7300,n/a
ZA,650000,n/a,80
US,92037,57545,6.5
US,56179,n/a,6.975
US,144560,n/a,n/a
US,120000,120000,n/a
US,228768,n/a,36
US,1057000,n/a,n/a
US,530000,n/a,10.8
US,142000,85330,9.9
SG,n/a,n/a,n/a
PH,n/a,n/a,n/a
DE,53410,n/a,9.1
US,163537,71950,5.6
US,182800,57803,n/a
GB,283575,107639,21
US,1133739,535000,109
DE,16000,n/a,1.018
AE,1679,1679,1.6
CA,62921,n/a,n/a
ES,189896,53378,n/a
DE,474000,n/a,56
US,132000,51103,12
SE,38254,38254,n/a
US,427320,172000,36
DE,452000,n/a,56
PT,56995,16005,n/a
US,103420,54488,4.6
FR,40634,n/a,5
US,n/a,n/a,n/a
US,92681,39535,15
US,n/a,20000,n/a
US,830000,n/a,25.6
DE,30720,18546,1800
US,550000,300000,180
US,86005,30000,6.3
IN,1000000,10000,1.6
DE,75000,n/a,9
GB,145054,107639,21.6
DE,721182,269098,n/a
CA,41000,22000,16
AU,15460,8627,n/a
ES,265000,100000,15
DE,87000,n/a,16.2
DE,15000,n/a,.6
IE,113580,62258,10.08
NL,36597,36597,4572
