total_space,total_power
55000,11
147600,4.9
338967,18.5
592015,25.6
1300000,105
658528,17.45
181716,13.5
1000000,110
379662,10.8
275322,10
137443,12
183900,6.8
60000,11
430000,40
467000,40
37673,3.69
45000,2.3
194429,20.25
258334,35750
990000,70
52571,7.2
588669,41
188260,20
173500,12
95444,5.5
103495,15
144000,13.5
148659,7.5
113021,8.96
133500,4
143630,6
360000,52
154158,14
175311,15
363302,50
485000,56
190057,15
400000,14
100590,10
322578,13.5
55721,1.7
99969,6.8
30000,14.4
175930,14.4
370000,2
177469,0.5
143687,15
670000,90
112292,12
242495,33
40906,5.6
802397,105.6
82882,4.021
183000,15.6
191597,18
107639,11.52
365000,50
280000,27
226042,2200
281630,4
148348,13.5
150000,4
154691,12
96681,9.54
180000,20
800000,32
82000,6.3
377000,26
53000,4.4
79200,4.5
61573,3
162000,10
52000,9.6
120000,5.4
260000,32
553930,12
91000,9.6
163747,11.6
168000,16
182986,22.7
113580,10.08
229435,4.9
164453,10
700000,75.2
95387,12
605373,9
605373,9
161458.66,40
2000000,148
277170,21
367981,8
129000,2200
8900,2.0
160000,7.4
385000,26
65340,10.26
454000,24
198000,28280
141696,16
140453,10
29208,4.8
650000,80
92037,6.5
56179,6.975
228768,36
530000,10.8
142000,9.9
53410,9.1
163537,5.6
283575,21
1133739,109
16000,1.018
1679,1.6
474000,56
132000,12
427320,36
452000,56
103420,4.6
40634,5
92681,15
830000,25.6
30720,1800
550000,180
86005,6.3
1000000,1.6
75000,9
145054,21.6
41000,16
265000,15
87000,16.2
15000,.6
113580,10.08
36597,4572
2800,1.763
89061,28.8
68000,5.7
270000,14
88000,3.2
77300,4
414410,10.6
158000,24
200000,18
74024,2500
75000,9
110566,9.6
30634.09,7
193750,54
147000,8.75
52743,1.8
160838,9
75119,6.2
794000,96
373700,20
425000,45
58471,2.5
463000,31
44382,2.2
110000,26
62430.68,16
3000,5.0
103920,20
106885,5.6
304934,42
162000,10
261425,18
120000,10
75000,9
96000,9.6
87971,12
214552,10
230000,36
108336,12
232000,24
232000,24
33000,0.18
119479,3
108336,12
105000,19.2
60000,5.6
72118,11.34
64583.46,15
64368,18
43056,5
201590,15
1446438,81
107000,18
103333,19
39000,3.9
23000,0.96
80557,13.92
138800,5.22
65000,2.7
185000,12
43356,2.4
64723,14
77224,15000
215000,30
56000,1.2
130000,15
168000,12.4
86111,10
351000,10
118403,3.6
93000,20
123785,10.2
214000,10
32740,2.21
124431,22
46465,0.9
122000,25
81900,4
7965,2400
269097,27
130000,16
67000,14.5
58992,6.75
30138,6.4
34600,6
94249,17.6
760000,1
314000,30
400000,12
27000,7.5
187000,30
64583.46,12
370000,14
46743,12
221500,36
86111,8
3046.19,2.4
70000,10
300000,50
123785,5.12
150000,15
121366,15
26909,3.2
430000,84
85747,6
50000,10
64583,3
50000,140
172000,24
26560,8.2
37673,3.69
109476,5.02
125600,9.5
47000,12
277000,26
348000,36.4
556457,47
66736,8
101298,6
40000,1
200000,16
83000,8
168888,9
320000,48
190000,4
44078,4.8
458500,60
204514,25
64583,10
70843,10.2
165968,16
50000,2.3
80000,12
108336,12000
174999,18.23
48917,9.8
24027,8.1
442837,20
49850,2.66
143630,8.2
27151,3.41
153000,9.5
39000,1.5
100807,3.75
22700,2400000
392711,44
58826,3.25
141096,60
145850,20
31215,2700
325000,20
256000,34.5
99976,4.31
150000,28.4
150000,28.4
105000,10.0
137700,2
125,6.0
118248,26
43610,2.1
85688,16
150000,5.2
10000,6.0
15000,2
381141,72
36800,3.6
11000,0.405
330000,15.5
420000,50
109600,18.5
127400,10
43055,3
12000,.83
490000,27
300000,17
73000,9.0
227000,15
300000,34
10200,2
205000,22.5
347000,32.3
45208,2.4
80000,1
67171,1.35
185000,14
247500,11.2
14990,7
52800,2.64
955469,7.2
69987,2.25
43000,6
62300,5
30000,2.5
193750,4.8
90000,54
96875,9.45
98218,21.9
154000,7.3
125479,2.3
26200,6
140000,4
58685,7.5
7000,1000
86111,5
279862,11
78433,4.05
370000,60
111945,7.2
37729,208
53,4
65000,2
115000,13
49000,10
22000,7
17760.45,2.25
22000,7
132240,18
75000,14
79000,40
59202,4.6
32291.73,6
47000,3
31310,2.5
72393,2.7
21754,.8
86111.28,4.5
366000,27000
242782,2.7
94000,10
150000,8
65000,4
37856,5018
118000,60
76000,20
599,3
8934,2400
105726,12
831372,2.4
158000,7
50000,20
720000,146
19000,.81
46500,3.5
820,0.4
35000,1.5
65000,8
81600,2.05
215278.21,80
730000,34
58125,16
19875,6
115000,14.25
162000,1.6
20000,1.2
710418,15
200000,48
315920,54
33564,60
187600,18
240000,48
9688,2800
256000.0,27.0
280000,9
240549,18
165000,20
69735,0.2
64800,2.8
39568,1.15
302262,8
112000,8.7
28000,4
550000,69
142475,6
245000,6
145000,27
72000,8
38000,2
61080,3.09
200000,84
50000,1.2
35,4
120586,13
119996.07,10
86000,10
271872,8
485000,80
50700,4.2
199584,22
31600,1.81
124000,13
38906,5.4
15340,1
121000,5.8
70000,10
3412,2
29000,3.5
16000,2
230000,5
131083,1.2
36000,15
3300000,264
176000,90
226015,26.4
270000,24
105980,11.25
111240,9
116519.33,14
421290,6
519000,54
70000,48.78
313000,28.8
8000,4
18000,1.6
1076391,150
35000,2.4
513000,120
96702.97,24
75000,6
58125,50
44550,2.65
46285,2.9
14500,2
90800,9
39643,6.2
79800,5
77550,2.5
23000,1
87000,6
53168,9.6
54700,1.5
104000,7.5
784143,26
11800,2.0
300000,6
58738,4.2
161458.66,2
135250,12
560000,32
236806,36
490000,30
136000,7
137648,10.5
52000,9
24326.44,4.4
35184,1.39
24326.44,4.4
14999,2
20000,1
242683,18
47692,0.3
69048,5
10000,1
375000,60
279862,11
173214,18000
162140,2
60000,2.7
46382,8.72
119500,18
220000,32
3000,1
15000,24
133000,10
200000,20
300000,30
100000,5.7
14003,.9
3000,1.0
103000,19
17545,0.3
16000,2.0
17545,0.3
18298.65,3.4
335000,75
50186,2
70000,9
80447,6.66
775000,89
91224,12
35520,1.8
112942,7.5
162000,2
13670,2304
270000,7
230000,32
23681,6
330000,10.4
10000,1.72
220000,36
45000,5
43056,4.5
124180,80
79200,4.5
62589,3.3
64164,3.15
94000,5.4
135000,7.5
182016,8.5
92000,4
135083,10
53200,2
275000,3.25
121000,9
171000,6.75
13273,1.2
16000,.5
95798.8,14
70000,48.78
46000,3.75
5000,4
428000,50.4
90000,105
77300,4.3
900000,70
2960,.3
130000,5.4
113021,6
83000,9.5
55972,1.02
122000,14.5
98218,7.2
60000,10
54659,6000
95993,6000
45000,16
324800,1.44
24850,2
348000,34.5
50738,60
802397,12
360000,60
160000,20
19375,3.5
160000,12
106000,10
22000,2
30000,6
556457,47
29200,2.5
33000,8
29200,2.5
112000,5.25
34000,0.8
93646.02,30
1300000,40
105225,3.5
222260,54
277744,0.45
18000,1.08
127000,26
53820,1.5
60166,3
47956,3
203703,7.2
293000,30
6535,.6
41979,3.96
42000,5
109000,16
42000,5
120000,9
145780,9
57000,4
635000,4.15
32000,13.5
635000,4.15
46000,6
200000,10
58471,2.5
180000,14.4
74679,3.15
14800,9.0
485000,36.4
140000,24
36597,6400
86100,28
23083,1.5
17164,1.5
120000,5.5
15070,1.5
64583,36
18900,0.5
19805,10944
8900,.8
95000,9
36966,2900
662000,2
12967,1
240000,40
57049,2.7
86111,2.5
33135,1.37
111000,12.0
33080,0.7
80000,2.2
65000,6
209000,1.5
28594,2.8
180000,26
50176,2
160000,9
4000,.2
360,0.096
100000,15
90000,5
12000,2
541000,69
224000,36
79535,6000
26000,1.45
66666,2.36
3500,1.2
358000,36
182986,24
360,0.096
66000,5
600000,60
75347,10
547000,48
99000,32
18957,0.8
547000,48
32292,6
18957,0.8
110000,35
251000,40
40903,2.5
50000,3.9
86000,9
345000,24
40000,10
358000,36
26000,1.8
52000,9
215000,21
16200,.78
711000,27.6
54000,3
500000,2.5
118000,.8
140000,48
129166.93,20
85000,3.5
40000,1.5
226910,4
34000,0.94
72696,6
122700,25.3
82354.68,4.23
5166,5.6
25000,5
121000,15
3000,1.2
11000,15
315000,36
23681,1.8
12000,2
85388,5.30
228000,24
96573,5
225000,20
76000,16.5
55270,0.82
37674,6
325772,8
7500,5
104300,10
116250,7.3
156000,2.5
21591,1.6
9000,1.50
54760,14.4
13455,10
366000,40
120000,5.5
103000,16.5
120000,5.5
420000,48
258000,31
30512,1.20
200000,16
13750,8
46800,0.849
42000,2.7
9870.51,7.2
39400,3
46,3.6
80000,4
90000,13.5
336000,40
100,0.8
29527,1.5
71000,40
28220,12
138500,12.75
23000,0.675
21377,1.25
6210,1
60000,1.2
120000,3
400000,12
18000,1.4
17659,1.25
8000,1
21000,3.6
47000,23
25000,2
162000,23.7
72000,13.6
11978,.24
150000,16
100000,10
107000,2.5
288000,32
14107,2.9
23250.05,6
53820,2
165297,18
19100,2.0
120,0.5
1000000,0.74
200000,26.5
29500,.5
