Country,Product,Flow,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 Provisional
Australia,Fossil fuels,Electricity output (GWh),41201,43730,52662,55974,58406,60843,68911,71507,74856,81907,87728,90301,92954,98977,105542,110412,117456,123265,131817,139389,139946,143107,146016,150127,156174,160913,165092,178571,186229,192274,206103,209504,201967,209530,208244,211085,221966,223347,229493,230893,227433,224509,216511,211256,217871,219115,217564,216366,212002,205248,194756,187536,181363
Australia,Nuclear,Electricity output (GWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Renewable sources,Electricity output (GWh),11844,11853,11749,13629,15173,15549,13576,14287,15787,13327,14480,14112,12563,12527,14118,14962,14067,15029,15265,14898,16590,16019,17220,17042,16631,16362,17507,16448,17398,17590,18162,17874,18619,18683,20103,21642,21013,19726,18602,21721,26273,26318,32704,36112,33423,37151,40207,44416,51658,59545,70359,83282,92216
Australia,Total,Electricity output (GWh),53045,55583,64411,69603,73579,76392,82487,85794,90643,95234,102208,104413,105517,111504,119660,125374,131523,138294,147082,154287,156536,159126,163236,167169,172805,177275,182599,195019,203627,209864,224265,227378,220586,228213,228347,232727,242979,243073,248095,252614,253706,250827,249215,247368,251294,256266,257771,260782,263660,264793,265115,270818,273579
Austria,Fossil fuels,Electricity output (GWh),11752,11939,11964,11005,11242,14561,12540,12875,12267,12551,10889,10848,10767,11965,11839,11544,12712,11244,12727,16607,17483,13718,13261,15156,16202,17549,17714,16784,17402,16292,18597,18570,22537,21882,23158,21062,19164,19378,18513,22328,20787,16682,13471,10855,13587,13457,15681,14254,15422,13037,13485,13509,10205
Austria,Nuclear,Electricity output (GWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Renewable sources,Electricity output (GWh),16450,16986,18952,22400,23691,20273,24788,24802,27930,29049,31347,31371,31165,29674,31873,32395,36933,36853,36391,32635,32649,36154,38049,36896,38904,35790,37819,39031,42348,43435,42232,41895,35251,39627,40885,40669,43177,44531,47177,44998,40908,51328,50491,50186,47582,51082,51055,50054,54634,55424,52754,50432,59397
Austria,Total,Electricity output (GWh),28202,28925,30916,33405,34933,34834,37328,37677,40197,41600,42246,42235,41972,41663,43742,43977,49688,48149,49155,49296,50181,49939,51371,52111,55178,53574,55685,55910,59916,59874,61067,60706,58097,61948,64490,62302,62939,64515,66315,67933,62270,68709,64595,61612,61865,65271,67443,65037,70856,69212,66968,64713,70301
Belgium,Fossil fuels,Electricity output (GWh),33103,36869,40252,41818,33768,36921,34459,37563,39949,39964,36520,33719,27208,25366,21057,17407,19393,20478,24707,26574,27281,26735,27005,29479,30771,30506,29241,34506,32794,32804,30208,31500,34224,33197,33728,32579,33803,31750,35688,37203,31174,29371,26232,23813,26340,24906,25615,26486,28115,28774,24726,24552,19575
Belgium,Nuclear,Electricity output (GWh),0,11,76,148,6784,10036,11939,12513,11407,12549,12859,15664,24106,27743,34601,39394,41967,43102,41217,42722,42861,43456,41927,40624,41356,43336,47408,46165,49017,48157,46349,47360,47379,47312,47595,46645,48227,45568,47222,47944,48234,40295,42644,33703,26103,43523,42227,28597,43524,34435,50326,43879,32928
Belgium,Renewable sources,Electricity output (GWh),134,180,287,348,266,166,471,483,549,578,672,379,358,375,340,462,577,547,503,555,536,617,507,600,668,561,588,759,850,1044,1075,1138,1192,1497,2106,2952,3486,4418,5439,6631,8334,10522,11731,12219,14461,14260,15810,17189,19484,23466,22725,24436,27001
Belgium,Total,Electricity output (GWh),33237,37060,40615,42314,40818,47123,46869,50559,51905,53091,50051,49978,51869,53690,56259,57621,62327,64541,66877,70292,71186,71410,70068,71341,73516,75138,77861,82075,83366,82773,78618,80939,83561,82921,84361,83319,86810,83054,89755,93226,89361,81742,82174,71373,68609,84491,85492,74024,92767,88408,99534,94570,81205
Canada,Fossil fuels,Electricity output (GWh),55105,57277,60173,58152,62040,67408,74468,75319,78373,82798,82480,89078,91183,96340,93061,84707,100465,113047,124767,108342,111242,118746,109691,112156,120481,118555,133373,150814,151180,165750,170766,165566,167264,158825,157180,148724,155903,148521,133046,139762,141436,132107,130342,133107,134604,131951,120209,123437,121373,116350,116376,114142,118031
